"annotation_id","annotator","created_at","id","image","labels","lead_time","polygon","updated_at"
1502,"1","2026-07-01T05:25:41.174836Z",1502,"/data/upload/8/a1c3afd0-1f0a0e4d-3fd5-64f8-83d3-92d6176ed24a.jpg","[{""points"":[[74.55867082035307,94.39252336448598],[63.136033229491176,93.92523364485982],[52.336448598130836,90.80996884735202],[41.53686396677051,86.6043613707165],[36.3447559709242,78.19314641744548],[36.3447559709242,78.19314641744548],[31.775700934579437,65.57632398753894],[30.32191069574247,50.155763239875384],[31.15264797507788,36.7601246105919],[34.68328141225337,19.626168224299064],[40.2907580477674,8.411214953271028],[45.898234683281416,2.803738317757009],[54.62097611630322,0],[79.12772585669782,0.1557632398753894],[76.84319833852544,8.255451713395638],[74.55867082035307,22.429906542056074],[72.27414330218068,40.809968847352025],[70.40498442367601,59.034267912772584],[71.23572170301142,76.01246105919003],[71.85877466251299,87.22741433021807],[73.5202492211838,91.74454828660437]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",48.009,"[{""points"":[[74.55867082035307,94.39252336448598],[63.136033229491176,93.92523364485982],[52.336448598130836,90.80996884735202],[41.53686396677051,86.6043613707165],[36.3447559709242,78.19314641744548],[36.3447559709242,78.19314641744548],[31.775700934579437,65.57632398753894],[30.32191069574247,50.155763239875384],[31.15264797507788,36.7601246105919],[34.68328141225337,19.626168224299064],[40.2907580477674,8.411214953271028],[45.898234683281416,2.803738317757009],[54.62097611630322,0],[79.12772585669782,0.1557632398753894],[76.84319833852544,8.255451713395638],[74.55867082035307,22.429906542056074],[72.27414330218068,40.809968847352025],[70.40498442367601,59.034267912772584],[71.23572170301142,76.01246105919003],[71.85877466251299,87.22741433021807],[73.5202492211838,91.74454828660437]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:25:41.176844Z"
1503,"1","2026-07-01T05:26:35.427501Z",1503,"/data/upload/8/33b4b9cb-1f0a0f01-2006-6064-abee-92d6176ed24a.jpg","[{""points"":[[23.67601246105919,99.06542056074767],[22.84527518172378,86.44859813084112],[22.63759086188993,66.1993769470405],[22.84527518172378,44.0809968847352],[23.883696780893043,23.5202492211838],[25.960539979231566,9.813084112149532],[27.41433021806853,1.0903426791277258],[32.191069574247145,-0.1557632398753894],[49.0134994807892,0],[63.136033229491176,2.959501557632399],[67.28971962616822,5.607476635514018],[70.82035306334372,11.838006230529595],[74.35098650051921,22.274143302180686],[76.42782969885774,39.56386292834891],[76.42782969885774,60.43613707165109],[74.14330218068535,80.37383177570094],[72.06645898234683,87.85046728971963],[69.98961578400831,93.92523364485982],[67.49740394600208,99.68847352024922]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",48.187,"[{""points"":[[23.67601246105919,99.06542056074767],[22.84527518172378,86.44859813084112],[22.63759086188993,66.1993769470405],[22.84527518172378,44.0809968847352],[23.883696780893043,23.5202492211838],[25.960539979231566,9.813084112149532],[27.41433021806853,1.0903426791277258],[32.191069574247145,-0.1557632398753894],[49.0134994807892,0],[63.136033229491176,2.959501557632399],[67.28971962616822,5.607476635514018],[70.82035306334372,11.838006230529595],[74.35098650051921,22.274143302180686],[76.42782969885774,39.56386292834891],[76.42782969885774,60.43613707165109],[74.14330218068535,80.37383177570094],[72.06645898234683,87.85046728971963],[69.98961578400831,93.92523364485982],[67.49740394600208,99.68847352024922]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:26:35.427501Z"
1504,"1","2026-07-01T05:27:10.094372Z",1504,"/data/upload/8/a08067d5-1f0a0f41-9125-6e30-98f6-92d6176ed24a.jpg","[{""points"":[[23.883696780893043,99.68847352024922],[24.091381100726895,86.7601246105919],[23.67601246105919,68.38006230529595],[21.806853582554517,43.769470404984425],[19.730010384215994,23.98753894080997],[18.276220145379025,5.607476635514018],[16.40706126687435,0.6230529595015576],[32.8141225337487,-0.1557632398753894],[49.84423676012461,3.7383177570093453],[55.24402907580478,6.697819314641744],[60.64382139148494,13.862928348909657],[65.6282450674974,23.364485981308412],[69.36656282450674,35.046728971962615],[70.82035306334372,50],[71.02803738317756,68.06853582554517],[68.95119418483905,82.2429906542056],[66.25129802699897,91.90031152647975],[62.72066458982347,96.57320872274143],[57.3208722741433,99.22118380062305]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",33.979,"[{""points"":[[23.883696780893043,99.68847352024922],[24.091381100726895,86.7601246105919],[23.67601246105919,68.38006230529595],[21.806853582554517,43.769470404984425],[19.730010384215994,23.98753894080997],[18.276220145379025,5.607476635514018],[16.40706126687435,0.6230529595015576],[32.8141225337487,-0.1557632398753894],[49.84423676012461,3.7383177570093453],[55.24402907580478,6.697819314641744],[60.64382139148494,13.862928348909657],[65.6282450674974,23.364485981308412],[69.36656282450674,35.046728971962615],[70.82035306334372,50],[71.02803738317756,68.06853582554517],[68.95119418483905,82.2429906542056],[66.25129802699897,91.90031152647975],[62.72066458982347,96.57320872274143],[57.3208722741433,99.22118380062305]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:27:10.094372Z"
1505,"1","2026-07-01T05:27:49.653502Z",1505,"/data/upload/8/9ff8e246-1f0a2ac7-0985-65f6-b493-92d6176ed24a.jpg","[{""points"":[[79.12772585669782,99.53271028037383],[77.25856697819314,84.57943925233646],[76.22014537902389,67.13395638629284],[75.18172377985462,48.13084112149533],[75.59709241952233,29.595015576323984],[74.35098650051921,13.395638629283487],[74.76635514018692,3.2710280373831773],[75.18172377985462,0.1557632398753894],[55.45171339563863,0],[42.15991692627207,3.115264797507788],[38.006230529595015,7.632398753894081],[33.85254413291797,17.75700934579439],[31.775700934579437,28.037383177570092],[30.73727933541018,42.99065420560748],[31.15264797507788,59.50155763239875],[34.26791277258567,76.79127725856698],[38.42159916926272,88.00623052959502],[44.02907580477674,94.85981308411215],[52.336448598130836,97.81931464174455],[60.228452751817244,99.68847352024922]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",38.958,"[{""points"":[[79.12772585669782,99.53271028037383],[77.25856697819314,84.57943925233646],[76.22014537902389,67.13395638629284],[75.18172377985462,48.13084112149533],[75.59709241952233,29.595015576323984],[74.35098650051921,13.395638629283487],[74.76635514018692,3.2710280373831773],[75.18172377985462,0.1557632398753894],[55.45171339563863,0],[42.15991692627207,3.115264797507788],[38.006230529595015,7.632398753894081],[33.85254413291797,17.75700934579439],[31.775700934579437,28.037383177570092],[30.73727933541018,42.99065420560748],[31.15264797507788,59.50155763239875],[34.26791277258567,76.79127725856698],[38.42159916926272,88.00623052959502],[44.02907580477674,94.85981308411215],[52.336448598130836,97.81931464174455],[60.228452751817244,99.68847352024922]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:27:49.653502Z"
1506,"1","2026-07-01T05:28:31.266756Z",1506,"/data/upload/8/198bc5b3-1f0a4d19-04d4-6aba-8d82-92d6176ed24a.jpg","[{""points"":[[82.45067497403946,97.81931464174455],[71.23572170301142,97.19626168224299],[56.490134994807896,94.85981308411215],[48.18276220145379,91.74454828660437],[41.95223260643821,84.57943925233646],[37.38317757009346,71.33956386292834],[34.47559709241953,61.37071651090342],[33.021806853582554,45.32710280373832],[34.26791277258567,30.373831775700932],[36.7601246105919,18.69158878504673],[40.913811007268954,12.616822429906541],[45.067497403946,8.09968847352025],[55.24402907580478,4.517133956386292],[67.70508826583594,2.1806853582554515],[75.18172377985462,1.2461059190031152],[73.1048805815161,5.919003115264798],[72.06645898234683,14.797507788161992],[71.02803738317756,26.479750778816197],[71.02803738317756,42.679127725856695],[72.89719626168224,60.280373831775705],[75.18172377985462,76.32398753894081],[77.88161993769471,88.00623052959502],[79.75077881619937,94.39252336448598]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",40.892,"[{""points"":[[82.45067497403946,97.81931464174455],[71.23572170301142,97.19626168224299],[56.490134994807896,94.85981308411215],[48.18276220145379,91.74454828660437],[41.95223260643821,84.57943925233646],[37.38317757009346,71.33956386292834],[34.47559709241953,61.37071651090342],[33.021806853582554,45.32710280373832],[34.26791277258567,30.373831775700932],[36.7601246105919,18.69158878504673],[40.913811007268954,12.616822429906541],[45.067497403946,8.09968847352025],[55.24402907580478,4.517133956386292],[67.70508826583594,2.1806853582554515],[75.18172377985462,1.2461059190031152],[73.1048805815161,5.919003115264798],[72.06645898234683,14.797507788161992],[71.02803738317756,26.479750778816197],[71.02803738317756,42.679127725856695],[72.89719626168224,60.280373831775705],[75.18172377985462,76.32398753894081],[77.88161993769471,88.00623052959502],[79.75077881619937,94.39252336448598]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:28:31.266756Z"
1507,"1","2026-07-01T05:28:56.706560Z",1507,"/data/upload/8/b095da18-1f0a4dde-c570-6ad8-ae80-92d6176ed24a.jpg","[{""points"":[[30.114226375908622,81.93146417445483],[31.360332294911736,76.01246105919003],[32.60643821391485,57.165109034267914],[32.8141225337487,38.47352024922118],[32.60643821391485,20.093457943925234],[32.8141225337487,0.6230529595015576],[74.35098650051921,0.778816199376947],[76.22014537902389,15.42056074766355],[76.84319833852544,32.71028037383177],[74.14330218068535,51.71339563862928],[67.91277258566979,70.56074766355141],[61.889927310488055,79.43925233644859],[54.62097611630322,81.46417445482867],[41.1214953271028,82.86604361370716]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",24.856,"[{""points"":[[30.114226375908622,81.93146417445483],[31.360332294911736,76.01246105919003],[32.60643821391485,57.165109034267914],[32.8141225337487,38.47352024922118],[32.60643821391485,20.093457943925234],[32.8141225337487,0.6230529595015576],[74.35098650051921,0.778816199376947],[76.22014537902389,15.42056074766355],[76.84319833852544,32.71028037383177],[74.14330218068535,51.71339563862928],[67.91277258566979,70.56074766355141],[61.889927310488055,79.43925233644859],[54.62097611630322,81.46417445482867],[41.1214953271028,82.86604361370716]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:28:56.706560Z"
1508,"1","2026-07-01T05:29:35.086754Z",1508,"/data/upload/8/f84ce978-1f0a4e39-c6c4-6aaa-8178-92d6176ed24a.jpg","[{""points"":[[24.714434060228452,99.84423676012462],[25.12980269989616,78.34890965732087],[25.752855659397717,57.165109034267914],[26.99896157840083,26.947040498442366],[28.037383177570092,7.476635514018691],[28.66043613707165,0.1557632398753894],[42.99065420560748,1.2461059190031152],[57.52855659397716,3.115264797507788],[65.6282450674974,6.697819314641744],[69.98961578400831,15.42056074766355],[74.76635514018692,34.112149532710276],[74.97403946002078,53.58255451713395],[73.31256490134996,71.49532710280374],[69.5742471443406,86.91588785046729],[64.58982346832815,97.81931464174455],[62.51298026998961,99.53271028037383]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",37.792,"[{""points"":[[24.714434060228452,99.84423676012462],[25.12980269989616,78.34890965732087],[25.752855659397717,57.165109034267914],[26.99896157840083,26.947040498442366],[28.037383177570092,7.476635514018691],[28.66043613707165,0.1557632398753894],[42.99065420560748,1.2461059190031152],[57.52855659397716,3.115264797507788],[65.6282450674974,6.697819314641744],[69.98961578400831,15.42056074766355],[74.76635514018692,34.112149532710276],[74.97403946002078,53.58255451713395],[73.31256490134996,71.49532710280374],[69.5742471443406,86.91588785046729],[64.58982346832815,97.81931464174455],[62.51298026998961,99.53271028037383]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:29:35.086754Z"
1509,"1","2026-07-01T05:30:13.047224Z",1509,"/data/upload/8/a1b92e6f-1f0a5a97-c4ef-6436-a067-92d6176ed24a.jpg","[{""points"":[[19.52232606438214,98.90965732087228],[20.976116303219104,78.34890965732087],[22.63759086188993,55.60747663551402],[25.12980269989616,33.48909657320872],[27.206645898234683,13.862928348909657],[29.49117341640706,0.6230529595015576],[60.43613707165109,0.3115264797507788],[67.91277258566979,3.582554517133956],[73.1048805815161,11.370716510903426],[76.22014537902389,23.67601246105919],[76.63551401869158,42.523364485981304],[75.59709241952233,62.77258566978193],[71.65109034267913,81.46417445482867],[66.04361370716511,94.0809968847352],[62.097611630321914,99.53271028037383]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",37.407,"[{""points"":[[19.52232606438214,98.90965732087228],[20.976116303219104,78.34890965732087],[22.63759086188993,55.60747663551402],[25.12980269989616,33.48909657320872],[27.206645898234683,13.862928348909657],[29.49117341640706,0.6230529595015576],[60.43613707165109,0.3115264797507788],[67.91277258566979,3.582554517133956],[73.1048805815161,11.370716510903426],[76.22014537902389,23.67601246105919],[76.63551401869158,42.523364485981304],[75.59709241952233,62.77258566978193],[71.65109034267913,81.46417445482867],[66.04361370716511,94.0809968847352],[62.097611630321914,99.53271028037383]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:30:13.047224Z"
1510,"1","2026-07-01T05:30:44.831918Z",1510,"/data/upload/8/3fe2f8cc-1f0a8bba-a0b8-608c-81cf-92d6176ed24a.jpg","[{""points"":[[77.67393561786086,99.22118380062305],[50.88265835929388,99.53271028037383],[41.32917964693666,97.0404984423676],[35.306334371754936,90.65420560747664],[28.245067497403948,81.46417445482867],[24.714434060228452,65.73208722741433],[22.01453790238837,49.37694704049844],[23.883696780893043,28.81619937694704],[29.49117341640706,10.43613707165109],[35.306334371754936,0.3115264797507788],[77.25856697819314,0.46728971962616817],[74.97403946002078,11.526479750778815],[73.31256490134996,23.67601246105919],[72.6895119418484,49.68847352024922],[73.5202492211838,74.45482866043614],[74.97403946002078,92.36760124610592]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",31.245,"[{""points"":[[77.67393561786086,99.22118380062305],[50.88265835929388,99.53271028037383],[41.32917964693666,97.0404984423676],[35.306334371754936,90.65420560747664],[28.245067497403948,81.46417445482867],[24.714434060228452,65.73208722741433],[22.01453790238837,49.37694704049844],[23.883696780893043,28.81619937694704],[29.49117341640706,10.43613707165109],[35.306334371754936,0.3115264797507788],[77.25856697819314,0.46728971962616817],[74.97403946002078,11.526479750778815],[73.31256490134996,23.67601246105919],[72.6895119418484,49.68847352024922],[73.5202492211838,74.45482866043614],[74.97403946002078,92.36760124610592]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:30:44.831918Z"
1511,"1","2026-07-01T05:31:12.554827Z",1511,"/data/upload/8/0d30ce64-1f0a8cad-7b9b-612a-ad1c-92d6176ed24a.jpg","[{""points"":[[14.74558670820353,99.22118380062305],[16.40706126687435,78.34890965732087],[18.483904465212877,52.95950155763239],[20.1453790238837,27.8816199376947],[20.5607476635514,9.190031152647975],[20.5607476635514,0.46728971962616817],[50.05192107995846,0],[62.097611630321914,4.672897196261682],[68.53582554517133,13.395638629283487],[72.6895119418484,28.037383177570092],[75.18172377985462,48.90965732087228],[72.48182762201453,69.1588785046729],[67.91277258566979,87.69470404984425],[62.30529595015576,99.37694704049844]],""closed"":true,""labels"":[""Block Tyre""],""original_width"":612,""original_height"":816}]",27.146,"[{""points"":[[14.74558670820353,99.22118380062305],[16.40706126687435,78.34890965732087],[18.483904465212877,52.95950155763239],[20.1453790238837,27.8816199376947],[20.5607476635514,9.190031152647975],[20.5607476635514,0.46728971962616817],[50.05192107995846,0],[62.097611630321914,4.672897196261682],[68.53582554517133,13.395638629283487],[72.6895119418484,28.037383177570092],[75.18172377985462,48.90965732087228],[72.48182762201453,69.1588785046729],[67.91277258566979,87.69470404984425],[62.30529595015576,99.37694704049844]],""closed"":true,""original_width"":612,""original_height"":816}]","2026-07-01T05:31:12.554827Z"
